Nombre,Icfes,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte
INST PEDAG LA REAL SOCIEDAD - SEDE PRINCIPAL,262.17390000000006,0.0,7.05,2.0,6.0,6.0,10.0,5.0
COL SANTA LIBRADA,268.18420000000003,0.0,6.890000000000001,6.0,6.0,6.0,10.0,5.0
COL ARIEL DAVID,275.0,0.0,9.7,10.0,6.0,6.0,10.0,4.75
LIC MARANATA,287.36670000000004,0.0,9.95,10.0,10.0,5.75,8.05,3.25
INST EDUC DIST JUAN LUIS  LONDOÃ‘O,277.5294,0.0,9.95,10.0,5.0,7.0,10.0,4.25
CENT EDUC DIST NUEVA ESPERANZA,238.1379,6.0,9.790000000000001,10.0,5.0,6.0,9.45,3.0
CENT EDUC DIST SANTA LIBRADA,255.6567,0.0,7.15,6.0,6.0,6.0,10.0,5.0
COLEGIO FERNANDO GONZALEZ OCHOA,253.7766,0.0,7.85,10.0,5.0,6.0,10.0,4.25
ORLANDO FALS BORDA (ANTES BARRANQUILLITA),254.0093,0.0,5.65,4.0,6.0,6.25,10.0,4.5
CENT EDUC DIST GRAN YOMASA,257.7826,0.0,9.9,10.0,5.0,6.0,10.0,5.25
CENT EDUC DIST DON BOSCO IV,276.4348,0.0,7.85,10.0,5.0,6.0,9.8,3.75
COL DE EDUC BAS Y MEDIA ESTANISLAO ZULETA,257.3604,0.0,9.75,10.0,5.0,5.75,8.850000000000001,3.75
INST EDUC DIST EL BOSQUE,261.73810000000003,0.0,7.95,10.0,5.0,6.0,10.0,4.5
COL DIST DE USME,281.17539999999997,10.0,9.84,10.0,5.0,5.25,4.9,2.75
CENT EDUC DIST MIRAVALLE,283.6735,0.0,7.3,6.0,7.0,6.0,10.0,5.0