Nombre,Bares,Seguridad,Act Impacto, Policia, Salud, Cultura, Deporte, Total
COL INST INSCAP SEDE FERIAS,1.5,7.819999999999999,8.0,1.0,10.0,6.950000000000001,10.0,6.467142857142858
COL DE FORMACION INTEGRAL VIRGEN DE LA PEÑA,7.25,7.25,10.0,1.0,7.25,8.3,2.75,6.257142857142857
COL ESTRADA DE MARIA AUXILIADORA,5.0,3.4299999999999997,10.0,1.0,10.0,7.15,10.0,6.654285714285714
COLEGIO MAYOR PRIMEROS MAESTROS,4.0,4.69,4.0,2.0,10.0,9.400000000000002,7.75,5.977142857142858
LIC LA ESPAÑOLA GABRIEL ANZOLA GOMEZ,6.0,9.65,10.0,1.0,10.0,8.8,9.25,7.814285714285715
COL CATOLICO DE LA SABANA,8.5,9.13,10.0,3.5,7.25,7.7,3.0,7.0114285714285725
INST SUP COOPERATIVO,3.0,6.85,10.0,1.0,10.0,9.15,8.75,6.964285714285714
COL TOMAS ALVA EDISON,8.5,9.95,10.0,1.0,3.25,6.1,2.0,5.828571428571429
COL CAFAM,9.5,7.040000000000001,10.0,0.0,10.0,6.5,10.0,7.577142857142857
COL DE BTO UNIVERSIDAD LIBRE,5.5,9.0,10.0,2.0,10.0,6.65,10.0,7.5928571428571425
CENT CIAL DE EDUC MEDIA MARGARITA BOSCO,5.5,8.2,8.0,2.0,10.0,7.6000000000000005,10.0,7.328571428571429
COL REAL DE COLOMBIA - SEDE PRINCIPAL,6.0,7.340000000000001,10.0,2.0,7.5,8.850000000000001,3.0,6.384285714285715
INST TOMAS DE IRIARTE,5.25,4.95,10.0,3.5,9.75,9.450000000000001,4.75,6.807142857142858
COL COOP MINUTO DE DIOS,0.0,8.75,10.0,1.0,10.0,8.55,9.75,6.864285714285714
COL EL MINUTO DE DIOS,0.0,8.65,10.0,1.0,10.0,8.4,9.75,6.828571428571428
COL RR OBLATAS AL DIVINO AMOR,3.5,6.85,10.0,2.0,10.0,6.6000000000000005,10.0,6.992857142857143
CENT EDUC DIST GUILLERMO LEON VALENCIA,2.5,6.65,6.0,2.5,10.0,10.0,7.0,6.378571428571428
COL DIST MARIANO OSPINA PEREZ,6.0,8.790000000000001,8.0,2.0,10.0,7.050000000000001,10.0,7.405714285714287
COLEGIO RODOLFO LLINAS IED - SEDE PRINCIPAL,9.5,9.7,10.0,2.0,8.0,8.200000000000001,3.75,7.307142857142858
CENT EDUC DIST MANUELA AYALA DE GAITAN,0.0,6.38,4.0,3.5,10.0,8.3,7.75,5.704285714285715
CENT EDUC DIST NUEVA CONSTITUCION,5.0,7.2,10.0,1.0,8.0,8.850000000000001,3.0,6.1499999999999995
COL DIST SIMON BOLIVAR,2.0,8.1,8.0,2.0,10.0,9.5,5.25,6.4071428571428575
CENT EDUC DIST ANTONIO VILLAVICENCIO,10.0,9.5,10.0,1.0,5.0,6.05,1.75,6.185714285714285
LICEO NAL MAGDALENA ORTEGA DE NARIÑO,1.5,6.03,10.0,2.0,10.0,6.9,10.0,6.632857142857143